as_of,variant,symbol,cls,score,bias,r5,r10
2023-05-02,V4.0,US-DOLLAR,single,-1.5625,Bearish,,
2023-05-02,V4.0,EURUSD,fx,0.5729166666666667,Neutral,,
2023-05-02,V4.0,GBPUSD,fx,2.083333333333333,Bullish,,
2023-05-02,V4.0,USDJPY,fx,-2.03125,Bearish,,
2023-05-02,V4.0,USDCHF,fx,0.8854166666666665,Neutral,,
2023-05-02,V4.0,USDCAD,fx,-1.40625,Bearish,,
2023-05-02,V4.0,AUDUSD,fx,0.78125,Neutral,,
2023-05-02,V4.0,NZDUSD,fx,-1.1631944444444442,Neutral,,
2023-05-02,V4.0,EURGBP,fx,-1.5104166666666663,Bearish,,
2023-05-02,V4.0,EURJPY,fx,-1.4583333333333333,Bearish,,
2023-05-02,V4.0,EURCHF,fx,1.4583333333333333,Bullish,,
2023-05-02,V4.0,EURAUD,fx,-0.2083333333333333,Neutral,,
2023-05-02,V4.0,EURNZD,fx,1.736111111111111,Bullish,,
2023-05-02,V4.0,EURCAD,fx,-0.8333333333333333,Neutral,,
2023-05-02,V4.0,GBPJPY,fx,0.05208333333333304,Neutral,,
2023-05-02,V4.0,GBPCHF,fx,2.9687499999999996,Bullish,,
2023-05-02,V4.0,GBPAUD,fx,1.302083333333333,Bullish,,
2023-05-02,V4.0,GBPNZD,fx,3.2465277777777772,Very Bullish,,
2023-05-02,V4.0,GBPCAD,fx,0.677083333333333,Neutral,,
2023-05-02,V4.0,AUDJPY,fx,-1.25,Neutral,,
2023-05-02,V4.0,NZDJPY,fx,-3.194444444444444,Very Bearish,,
2023-05-02,V4.0,CADJPY,fx,-0.625,Neutral,,
2023-05-02,V4.0,CHFJPY,fx,-2.9166666666666665,Bearish,,
2023-05-02,V4.0,AUDNZD,fx,1.9444444444444442,Bullish,,
2023-05-02,V4.0,AUDCAD,fx,-0.625,Neutral,,
2023-05-02,V4.0,AUDCHF,fx,1.6666666666666665,Bullish,,
2023-05-02,V4.0,NZDCAD,fx,-2.569444444444444,Bearish,,
2023-05-02,V4.0,NZDCHF,fx,-0.2777777777777777,Neutral,,
2023-05-02,V4.0,CADCHF,fx,2.2916666666666665,Bullish,,
2023-05-02,V4.0,DJIA,cross-asset,-2.083333333333333,Bearish,,
2023-05-02,V4.0,SP500,cross-asset,-2.083333333333333,Bearish,,
2023-05-02,V4.0,NASDAQ,cross-asset,-2.083333333333333,Bearish,,
2023-05-02,V4.0,DAX,cross-asset,-3.333333333333333,Bearish,,
2023-05-02,V4.0,NIKKEI,cross-asset,1.666666666666667,Neutral,,
2023-05-02,V4.0,FTSE100,cross-asset,-3.333333333333333,Bearish,0.0,0.0
2023-05-02,V4.0,GOLD,cross-asset,-0.23809523809523805,Neutral,,
2023-05-02,V4.0,SILVER,cross-asset,-0.23809523809523805,Neutral,,
2023-05-02,V4.1,US-DOLLAR,single,-1.3541666666666665,Bearish,,
2023-05-02,V4.1,EURUSD,fx,0.46875,Neutral,,
2023-05-02,V4.1,GBPUSD,fx,1.9791666666666663,Bullish,,
2023-05-02,V4.1,USDJPY,fx,-1.9270833333333333,Bearish,,
2023-05-02,V4.1,USDCHF,fx,0.9895833333333333,Neutral,,
2023-05-02,V4.1,USDCAD,fx,-1.3020833333333333,Bearish,,
2023-05-02,V4.1,AUDUSD,fx,0.6770833333333333,Neutral,,
2023-05-02,V4.1,NZDUSD,fx,-1.267361111111111,Neutral,,
2023-05-02,V4.1,EURGBP,fx,-1.5104166666666663,Bearish,,
2023-05-02,V4.1,EURJPY,fx,-1.4583333333333333,Bearish,,
2023-05-02,V4.1,EURCHF,fx,1.4583333333333333,Bullish,,
2023-05-02,V4.1,EURAUD,fx,-0.2083333333333333,Neutral,,
2023-05-02,V4.1,EURNZD,fx,1.736111111111111,Bullish,,
2023-05-02,V4.1,EURCAD,fx,-0.8333333333333333,Neutral,,
2023-05-02,V4.1,GBPJPY,fx,0.05208333333333304,Neutral,,
2023-05-02,V4.1,GBPCHF,fx,2.9687499999999996,Bullish,,
2023-05-02,V4.1,GBPAUD,fx,1.302083333333333,Bullish,,
2023-05-02,V4.1,GBPNZD,fx,3.2465277777777772,Very Bullish,,
2023-05-02,V4.1,GBPCAD,fx,0.677083333333333,Neutral,,
2023-05-02,V4.1,AUDJPY,fx,-1.25,Neutral,,
2023-05-02,V4.1,NZDJPY,fx,-3.194444444444444,Very Bearish,,
2023-05-02,V4.1,CADJPY,fx,-0.625,Neutral,,
2023-05-02,V4.1,CHFJPY,fx,-2.9166666666666665,Bearish,,
2023-05-02,V4.1,AUDNZD,fx,1.9444444444444442,Bullish,,
2023-05-02,V4.1,AUDCAD,fx,-0.625,Neutral,,
2023-05-02,V4.1,AUDCHF,fx,1.6666666666666665,Bullish,,
2023-05-02,V4.1,NZDCAD,fx,-2.569444444444444,Bearish,,
2023-05-02,V4.1,NZDCHF,fx,-0.2777777777777777,Neutral,,
2023-05-02,V4.1,CADCHF,fx,2.2916666666666665,Bullish,,
2023-05-02,V4.1,DJIA,cross-asset,-2.083333333333333,Bearish,,
2023-05-02,V4.1,SP500,cross-asset,-2.083333333333333,Bearish,,
2023-05-02,V4.1,NASDAQ,cross-asset,-2.083333333333333,Bearish,,
2023-05-02,V4.1,DAX,cross-asset,-3.333333333333333,Bearish,,
2023-05-02,V4.1,NIKKEI,cross-asset,1.666666666666667,Neutral,,
2023-05-02,V4.1,FTSE100,cross-asset,-3.333333333333333,Bearish,0.0,0.0
2023-05-02,V4.1,GOLD,cross-asset,-0.23809523809523805,Neutral,,
2023-05-02,V4.1,SILVER,cross-asset,-0.23809523809523805,Neutral,,
2023-05-02,V4.2,US-DOLLAR,single,-1.3541666666666665,Bearish,,
2023-05-02,V4.2,EURUSD,fx,0.46875,Neutral,,
2023-05-02,V4.2,GBPUSD,fx,1.9791666666666663,Bullish,,
2023-05-02,V4.2,USDJPY,fx,-1.9270833333333333,Bearish,,
2023-05-02,V4.2,USDCHF,fx,0.9895833333333333,Neutral,,
2023-05-02,V4.2,USDCAD,fx,-1.3020833333333333,Bearish,,
2023-05-02,V4.2,AUDUSD,fx,0.6770833333333333,Neutral,,
2023-05-02,V4.2,NZDUSD,fx,-1.267361111111111,Neutral,,
2023-05-02,V4.2,EURGBP,fx,-1.5104166666666663,Bearish,,
