as_of,symbol,cls,score,bias,r15,r21,r30
2023-05-02,US-DOLLAR,single,-2.0833333333333335,Bearish,,,
2023-05-02,GBPUSD,fx,2.7777777777777777,Bullish,,,
2023-05-02,USDJPY,fx,-2.708333333333333,Bearish,,,
2023-05-02,USDCAD,fx,-1.875,Bearish,,,
2023-05-02,EURGBP,fx,-2.0138888888888884,Bearish,,,
2023-05-02,EURJPY,fx,-1.9444444444444442,Bearish,,,
2023-05-02,EURCHF,fx,1.3888888888888888,Bullish,,,
2023-05-02,EURNZD,fx,1.6666666666666665,Bullish,,,
2023-05-02,GBPCHF,fx,3.4027777777777772,Very Bullish,,,
2023-05-02,GBPAUD,fx,2.5694444444444438,Bullish,,,
2023-05-02,GBPNZD,fx,3.680555555555555,Very Bullish,,,
2023-05-02,AUDJPY,fx,-2.5,Bearish,,,
2023-05-02,NZDJPY,fx,-3.6111111111111107,Very Bearish,,,
2023-05-02,CHFJPY,fx,-3.333333333333333,Very Bearish,,,
2023-05-02,AUDCAD,fx,-1.6666666666666665,Bearish,,,
2023-05-02,NZDCAD,fx,-2.7777777777777777,Bearish,,,
2023-05-02,CADCHF,fx,2.5,Bullish,,,
2023-05-02,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-02,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-02,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-03,US-DOLLAR,single,-1.8055555555555556,Bearish,,,
2023-05-03,GBPUSD,fx,2.847222222222222,Bullish,,,
2023-05-03,USDJPY,fx,-2.569444444444444,Bearish,,,
2023-05-03,USDCAD,fx,-1.4583333333333335,Bearish,,,
2023-05-03,EURGBP,fx,-1.9444444444444442,Bearish,,,
2023-05-03,EURJPY,fx,-1.6666666666666665,Bearish,,,
2023-05-03,EURCHF,fx,1.6666666666666665,Bullish,,,
2023-05-03,GBPCHF,fx,3.6111111111111107,Very Bullish,,,
2023-05-03,GBPAUD,fx,2.7777777777777777,Bullish,,,
2023-05-03,GBPNZD,fx,2.5,Bullish,,,
2023-05-03,GBPCAD,fx,1.3888888888888886,Bullish,,,
2023-05-03,AUDJPY,fx,-2.5,Bearish,,,
2023-05-03,NZDJPY,fx,-2.2222222222222223,Bearish,,,
2023-05-03,CHFJPY,fx,-3.333333333333333,Very Bearish,,,
2023-05-03,AUDCAD,fx,-1.3888888888888888,Bearish,,,
2023-05-03,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-03,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-03,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-03,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-04,GBPUSD,fx,2.2916666666666665,Bullish,,,
2023-05-04,USDJPY,fx,-1.8055555555555554,Bearish,,,
2023-05-04,USDCHF,fx,1.5277777777777777,Bullish,,,
2023-05-04,EURGBP,fx,-2.1527777777777777,Bearish,,,
2023-05-04,EURJPY,fx,-1.6666666666666665,Bearish,,,
2023-05-04,EURCHF,fx,1.6666666666666665,Bullish,,,
2023-05-04,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-04,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-04,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-04,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-04,AUDJPY,fx,-1.6666666666666665,Bearish,,,
2023-05-04,NZDJPY,fx,-2.2222222222222223,Bearish,,,
2023-05-04,CHFJPY,fx,-3.333333333333333,Very Bearish,,,
2023-05-04,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-04,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-04,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-04,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-04,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-05,GBPUSD,fx,2.4305555555555554,Bullish,,,
2023-05-05,USDJPY,fx,-1.9444444444444442,Bearish,,,
2023-05-05,USDCHF,fx,1.3888888888888888,Bullish,,,
2023-05-05,EURGBP,fx,-2.708333333333333,Bearish,,,
2023-05-05,EURJPY,fx,-2.222222222222222,Bearish,,,
2023-05-05,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-05,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-05,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-05,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-05,AUDJPY,fx,-1.6666666666666665,Bearish,,,
2023-05-05,NZDJPY,fx,-2.2222222222222223,Bearish,,,
2023-05-05,CHFJPY,fx,-3.333333333333333,Very Bearish,,,
2023-05-05,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-05,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-05,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-05,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-08,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-08,GBPUSD,fx,2.013888888888889,Bullish,,,
2023-05-08,USDJPY,fx,-1.5277777777777777,Bearish,,,
2023-05-08,USDCHF,fx,1.8055555555555554,Bullish,,,
2023-05-08,EURGBP,fx,-3.541666666666666,Very Bearish,,,
2023-05-08,EURJPY,fx,-3.0555555555555554,Very Bearish,,,
2023-05-08,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-08,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-08,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-08,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-08,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-08,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-08,AUDJPY,fx,-1.6666666666666665,Bearish,,,
2023-05-08,NZDJPY,fx,-2.2222222222222223,Bearish,,,
2023-05-08,CHFJPY,fx,-3.333333333333333,Very Bearish,,,
2023-05-08,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-08,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-08,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-08,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-08,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-09,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-09,GBPUSD,fx,2.013888888888889,Bullish,,,
2023-05-09,USDCHF,fx,1.8055555555555554,Bullish,,,
2023-05-09,EURGBP,fx,-3.541666666666666,Very Bearish,,,
2023-05-09,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-09,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-09,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-09,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-09,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-09,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-09,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-09,NZDJPY,fx,-1.8055555555555556,Bearish,,,
2023-05-09,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-09,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-09,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-09,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-09,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-09,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-10,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-10,GBPUSD,fx,2.013888888888889,Bullish,,,
2023-05-10,USDCHF,fx,1.8055555555555554,Bullish,,,
2023-05-10,EURGBP,fx,-3.541666666666666,Very Bearish,,,
2023-05-10,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-10,EURAUD,fx,-1.3888888888888886,Bearish,,,
