ccy,key,n,share,worst_dt,worst_surprise,worst_actual,worst_cons,has_zero_actual,std
NZD,interest_rate_decision,12,0.9166666666666669,2025-10-08,-0.25,2.5,2.75,False,0.07216878364870322
AUD,interest_rate_decision,12,0.9166666666666669,2025-07-08,0.25,3.85,3.6,False,0.07216878364870322
USD,unemployment_rate,12,0.9129294518751639,2025-10-02,-4.3,0.0,4.3,True,1.2412115293559194
CAD,unemployment_rate,12,0.9104199593587715,2025-12-05,-7.0,0.0,7.0,True,2.0065800847122044
USD,manufacturing_pmi,12,0.9077041774080346,2025-10-01,-49.0,0.0,49.0,True,14.249027080024543
EUR,core_cpi,12,0.8966533244385144,2025-10-01,-2.3,0.0,2.3,True,0.673975091707716
EUR,cpi_yoy,12,0.8948445171849428,2025-10-01,-2.2,0.0,2.2,True,0.6454385401344649
JPY,cpi_yoy,12,0.88796711509716,2026-02-19,-2.0,0.0,2.0,True,0.5812734192088848
USD,jolts,12,0.8879327891136681,2025-12-08,7.66,7.66,0.0,False,2.2366126986218164
AUD,manufacturing_pmi,7,0.8557365758381034,2026-02-19,0.0,0.0,0.0,True,19.31723878523311
EUR,manufacturing_pmi,7,0.8554887174972766,2026-02-20,-49.9,0.0,49.9,True,19.1245665995088
EUR,services_pmi,7,0.8553682574981606,2026-02-20,-51.9,0.0,51.9,True,19.302479485436947
JPY,manufacturing_pmi,7,0.8508118206657347,2026-02-19,-51.3,0.0,51.3,True,19.796692845499415
AUD,services_pmi,7,0.8354766287580233,2026-02-19,0.0,0.0,0.0,True,19.313972243159196
AUD,cpi_yoy,12,0.8265994086493161,2025-09-24,-2.9,0.0,2.9,True,0.8815877549608828
CAD,manufacturing_pmi,12,0.7170263856344671,2025-12-01,-49.0,0.0,49.0,True,31.156175515092876
GBP,employment_change,12,0.7109380516363991,2025-08-12,-25.9,-6.2,19.7,False,10.078134146695403
USD,cpi_yoy,12,0.6171071953010281,2025-12-18,-0.3999999999999999,2.7,3.1,False,0.1311372170551506
EUR,ppi_yoy,12,0.5939393939393939,2026-03-04,0.49999999999999994,0.7,0.2,False,0.18257418583505536
GBP,unemployment_rate,12,0.5873983739837411,2026-04-21,-0.2999999999999998,4.9,5.2,False,0.11146408580454237
USD,gdp_qoq,12,0.5395600643270989,2026-02-20,-2.8,0.0,2.8,True,1.0706483450638116
GBP,ppi_yoy,12,0.5349872773536896,2026-03-25,-0.8,-0.5,0.3,True,0.29886147596868656
USD,jobless_claims,12,0.5310979060554611,2026-04-30,-24.0,189.0,213.0,False,9.446820853727685
USD,wage_growth,12,0.5065400843881855,2025-12-15,0.4,0.4,0.0,True,0.17298624923456324
NZD,ppi_yoy,12,0.49244604316546753,2025-05-18,2.0,2.1,0.1,False,0.7948699150289825
AUD,ppi_yoy,12,0.4916356877323421,2023-10-27,1.1,1.8,0.7,True,0.49451537341669627
USD,core_pce,12,0.42666666666666664,2026-02-20,-0.3,0.0,0.3,True,0.12309149097933274
AUD,unemployment_rate,12,0.42505514520808735,2025-10-16,-4.3,0.0,4.3,True,1.6610283415749265
CHF,ppi_yoy,12,0.41624543667509134,2026-05-12,0.4,0.8,0.4,False,0.29987371079213065
CHF,retail_sales,12,0.4095885607418374,2026-03-02,-3.8000000000000003,-1.1,2.7,True,1.707802947968796
EUR,employment_change,12,0.4023809523809524,2023-08-16,-0.2,0.2,0.4,False,0.10298573010888745
CHF,cpi_yoy,12,0.4023809523809524,2026-04-02,-0.3,0.2,0.5,True,0.10298573010888745
CAD,retail_sales,12,0.3980530594779633,2026-02-20,0.5,0.0,-0.5,True,0.24293034292807372
JPY,core_cpi,12,0.3906926406926405,2025-08-26,-0.3999999999999999,2.0,2.4,True,0.15275252316519464
AUD,retail_sales,12,0.3848882410106899,2025-07-31,0.7999999999999999,1.2,0.4,True,0.360450055381106
NZD,gdp_qoq,12,0.3712121212121212,2024-12-18,-0.8,-1.0,-0.2,False,0.37527767497325676
CHF,unemployment_rate,12,0.37121212121212116,2026-02-06,-0.10000000000000009,2.9,3.0,False,0.05773502691896263
AUD,wage_growth,12,0.3676470588235294,2025-05-14,0.09999999999999998,0.9,0.8,False,0.0621581560508061
CHF,manufacturing_pmi,7,0.3671970369908624,2026-04-01,6.099999999999994,53.3,47.2,False,3.6188001168500974
USD,core_cpi,12,0.36244979919678727,2026-05-12,0.10000000000000003,0.4,0.3,False,0.0792961461098759
NZD,services_pmi,12,0.357703829649421,2026-01-19,51.5,51.5,0.0,False,1.5796048604481803
CAD,gdp_qoq,12,0.3440860215053763,2025-10-31,-0.3,-0.3,0.0,True,0.1370688833684684
CAD,core_cpi,12,0.34288114879315607,2026-01-19,-0.4,-0.4,0.0,True,0.2874917653629668
JPY,retail_sales,12,0.3413399948757366,2026-06-28,2.1999999999999997,5.3,3.1,True,1.2557745406599454
USD,ppi_yoy,12,0.3327136333985648,2026-05-13,0.8999999999999999,1.4,0.5,True,0.4399552318822974
NZD,unemployment_rate,12,0.32666666666666555,2024-02-06,-0.2999999999999998,4.0,4.3,False,0.12309149097933283
NZD,retail_sales,12,0.32464929859719444,2024-02-22,-1.7,-1.9,-0.2,True,0.952508649447724
USD,adp,12,0.31093370880045335,2025-10-01,-52.0,0.0,52.0,True,23.881652650797292
CAD,ppi_yoy,12,0.30992941931344237,2026-01-21,-0.8999999999999999,-0.6,0.3,True,0.6273440890457215
USD,retail_sales,12,0.2987469962238243,2026-02-10,-0.4,0.0,0.4,True,0.27122058561364043
NZD,employment_change,12,0.2950819672131148,2023-10-31,-0.6000000000000001,-0.2,0.4,True,0.3330301651638946
GBP,core_cpi,12,0.29166666666666713,2025-07-16,0.20000000000000018,3.7,3.5,False,0.1302677894557859
CAD,cpi_yoy,12,0.2913793103448277,2026-06-22,0.30000000000000004,1.0,0.7,True,0.1815338686155987
NZD,wage_growth,12,0.29096834264432025,2024-02-06,0.19999999999999996,1.0,0.8,False,0.11645001528813148
USD,employment_change,12,0.28872087095235743,2026-03-06,-150.0,-92.0,58.0,True,74.34990982448527
AUD,gdp_qoq,12,0.2773972602739724,2025-12-03,-0.29999999999999993,0.4,0.7,False,0.12880570286640686
JPY,wage_growth,12,0.27394526795895097,2026-01-07,-1.7999999999999998,0.5,2.3,False,0.892901297609499
GBP,cpi_yoy,12,0.26666666666666605,2025-12-17,-0.2999999999999998,3.2,3.5,False,0.15569978883230465
EUR,retail_sales,12,0.2662241887905604,2026-03-05,-0.4,-0.1,0.3,True,0.18504708655481245
NZD,manufacturing_pmi,12,0.2592837568670977,2026-01-15,56.1,56.1,0.0,False,2.4227926536177726
GBP,retail_sales,12,0.2577430236123889,2025-11-21,-1.0,-1.1,-0.1,False,0.8116574885922502
JPY,unemployment_rate,12,0.256568144499179,2025-08-28,-0.20000000000000018,2.3,2.5,False,0.12401124093721466
GBP,gdp_qoq,12,0.2521822149481724,2026-04-16,0.4,0.5,0.1,True,0.21514618004482158
