candidate,rank,date,category,contributed,base_sp,aug_sp,delta
JPY/Tokyo Core CPI y/y,1,2023-01-08,inflation,True,0.0,0.0,0.0
JPY/Tokyo Core CPI y/y,1,2023-01-09,inflation,True,0.0,1.0,1.0
JPY/Tokyo Core CPI y/y,1,2023-01-10,inflation,True,0.0,1.0,1.0
JPY/Tokyo Core CPI y/y,1,2023-01-11,inflation,True,0.0,1.0,1.0
JPY/Tokyo Core CPI y/y,1,2023-01-12,inflation,True,0.0,1.0,1.0
GBP/Industrial Production m/m,3,2023-01-12,growth,True,0.0,0.0,0.0
JPY/Tokyo Core CPI y/y,1,2023-01-13,inflation,True,0.0,1.0,1.0
GBP/Industrial Production m/m,3,2023-01-13,growth,True,0.6666666666666666,0.5,-0.16666666666666663
USD/Import Prices m/m,15,2023-01-13,inflation,True,0.0,0.6666666666666666,0.6666666666666666
JPY/Tokyo Core CPI y/y,1,2023-01-14,inflation,True,0.0,1.0,1.0
GBP/Industrial Production m/m,3,2023-01-14,growth,True,0.6666666666666666,0.5,-0.16666666666666663
USD/Import Prices m/m,15,2023-01-14,inflation,True,0.0,0.6666666666666666,0.6666666666666666
JPY/Tokyo Core CPI y/y,1,2023-01-15,inflation,True,0.0,1.0,1.0
GBP/Industrial Production m/m,3,2023-01-15,growth,True,0.6666666666666666,0.5,-0.16666666666666663
USD/Import Prices m/m,15,2023-01-15,inflation,True,0.0,0.6666666666666666,0.6666666666666666
JPY/Tokyo Core CPI y/y,1,2023-01-16,inflation,True,0.0,1.0,1.0
GBP/Industrial Production m/m,3,2023-01-16,growth,True,0.6666666666666666,0.5,-0.16666666666666663
USD/Import Prices m/m,15,2023-01-16,inflation,True,0.0,0.6666666666666666,0.6666666666666666
JPY/Tokyo Core CPI y/y,1,2023-01-17,inflation,True,0.0,1.0,1.0
GBP/Industrial Production m/m,3,2023-01-17,growth,True,0.6666666666666666,0.5,-0.16666666666666663
