date,currency,category,score_precise,coverage
2023-01-02,USD,growth,0.0,0
2023-01-02,USD,inflation,0.0,0
2023-01-02,USD,labour,0.0,0
2023-01-02,EUR,growth,0.0,1
2023-01-02,EUR,inflation,0.0,0
2023-01-02,EUR,labour,0.0,0
2023-01-02,GBP,growth,0.0,1
2023-01-02,GBP,inflation,0.0,0
2023-01-02,GBP,labour,0.0,0
2023-01-02,JPY,growth,0.0,0
2023-01-02,JPY,inflation,0.0,0
2023-01-02,JPY,labour,0.0,0
2023-01-02,AUD,growth,0.0,0
2023-01-02,AUD,inflation,0.0,0
2023-01-02,AUD,labour,0.0,0
2023-01-02,NZD,growth,0.0,0
2023-01-02,NZD,inflation,0.0,0
2023-01-02,NZD,labour,0.0,0
2023-01-02,CAD,growth,0.0,0
2023-01-02,CAD,inflation,0.0,0
2023-01-02,CAD,labour,0.0,0
2023-01-02,CHF,growth,0.0,0
2023-01-02,CHF,inflation,0.0,0
2023-01-02,CHF,labour,0.0,0
2023-01-03,USD,growth,0.0,0
2023-01-03,USD,inflation,0.0,0
2023-01-03,USD,labour,0.0,0
2023-01-03,EUR,growth,0.0,1
2023-01-03,EUR,inflation,0.0,0
2023-01-03,EUR,labour,0.0,0
2023-01-03,GBP,growth,0.0,1
2023-01-03,GBP,inflation,0.0,0
2023-01-03,GBP,labour,0.0,0
2023-01-03,JPY,growth,0.0,0
2023-01-03,JPY,inflation,0.0,0
2023-01-03,JPY,labour,0.0,0
2023-01-03,AUD,growth,0.0,0
2023-01-03,AUD,inflation,0.0,0
2023-01-03,AUD,labour,0.0,0
2023-01-03,NZD,growth,0.0,0
2023-01-03,NZD,inflation,0.0,0
2023-01-03,NZD,labour,0.0,0
2023-01-03,CAD,growth,0.0,0
2023-01-03,CAD,inflation,0.0,0
2023-01-03,CAD,labour,0.0,0
2023-01-03,CHF,growth,0.0,0
2023-01-03,CHF,inflation,0.0,0
2023-01-03,CHF,labour,0.0,0
2023-01-04,USD,growth,0.0,1
2023-01-04,USD,inflation,0.0,0
2023-01-04,USD,labour,1.0,1
2023-01-04,EUR,growth,0.0,1
2023-01-04,EUR,inflation,0.0,0
2023-01-04,EUR,labour,0.0,0
2023-01-04,GBP,growth,0.0,2
2023-01-04,GBP,inflation,0.0,0
2023-01-04,GBP,labour,0.0,0
2023-01-04,JPY,growth,0.0,0
2023-01-04,JPY,inflation,0.0,0
2023-01-04,JPY,labour,0.0,0
2023-01-04,AUD,growth,0.0,0
2023-01-04,AUD,inflation,0.0,0
2023-01-04,AUD,labour,0.0,0
2023-01-04,NZD,growth,0.0,0
2023-01-04,NZD,inflation,0.0,0
2023-01-04,NZD,labour,0.0,0
2023-01-04,CAD,growth,0.0,0
2023-01-04,CAD,inflation,0.0,0
2023-01-04,CAD,labour,0.0,0
2023-01-04,CHF,growth,0.0,0
2023-01-04,CHF,inflation,-2.0,1
2023-01-04,CHF,labour,0.0,0
2023-01-05,USD,growth,0.0,1
2023-01-05,USD,inflation,0.0,0
2023-01-05,USD,labour,1.6666666666666667,3
2023-01-05,EUR,growth,0.0,1
2023-01-05,EUR,inflation,0.0,0
2023-01-05,EUR,labour,0.0,0
2023-01-05,GBP,growth,0.0,2
2023-01-05,GBP,inflation,0.0,0
2023-01-05,GBP,labour,0.0,0
2023-01-05,JPY,growth,0.0,0
2023-01-05,JPY,inflation,0.0,0
2023-01-05,JPY,labour,-2.0,1
2023-01-05,AUD,growth,0.0,0
2023-01-05,AUD,inflation,0.0,0
2023-01-05,AUD,labour,0.0,0
2023-01-05,NZD,growth,0.0,0
2023-01-05,NZD,inflation,0.0,0
2023-01-05,NZD,labour,0.0,0
2023-01-05,CAD,growth,0.0,0
2023-01-05,CAD,inflation,0.0,0
2023-01-05,CAD,labour,0.0,0
2023-01-05,CHF,growth,0.0,0
2023-01-05,CHF,inflation,-2.0,1
2023-01-05,CHF,labour,0.0,0
2023-01-06,USD,growth,-0.5,2
2023-01-06,USD,inflation,0.0,0
2023-01-06,USD,labour,1.0,6
2023-01-06,EUR,growth,1.0,2
2023-01-06,EUR,inflation,-0.5,2
2023-01-06,EUR,labour,0.0,0
2023-01-06,GBP,growth,0.0,2
2023-01-06,GBP,inflation,0.0,0
2023-01-06,GBP,labour,0.0,0
2023-01-06,JPY,growth,0.0,0
2023-01-06,JPY,inflation,0.0,0
2023-01-06,JPY,labour,-2.0,1
2023-01-06,AUD,growth,0.0,0
2023-01-06,AUD,inflation,0.0,0
2023-01-06,AUD,labour,0.0,0
2023-01-06,NZD,growth,0.0,0
2023-01-06,NZD,inflation,0.0,0
2023-01-06,NZD,labour,0.0,0
2023-01-06,CAD,growth,0.0,0
2023-01-06,CAD,inflation,0.0,0
2023-01-06,CAD,labour,1.5,2
