op,canonical_id,datetime_utc,currency,name_raw,name_canonical,actual,forecast,previous,forecast_origin,set_fields,old,reason,evidence
delete,chf_cpi,2023-01-08 07:30:00,,,,,,,,,"{""actual"": null, ""forecast"": -0.1, ""previous"": -0.2, ""forecast_origin"": ""unknown"", ""jb_status"": ""Bad Data""}","wrong-year copy (no actual) of the 2024-01-08 release (same forecast -0.1 / previous -0.2), dated on a Sunday",https://www.forexfactory.com/calendar?day=jan8.2023 lists no CHF CPI; real Dec-2022 print at 2023-01-04 07:30
delete,chf_retail_sales,2023-01-08 07:30:00,,,,,,,,,"{""actual"": 0.7, ""forecast"": 0.0, ""previous"": -0.3, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","wrong-year copy of the 2024 print (identical actual/forecast/previous, 365 days apart)",https://www.forexfactory.com/calendar?day=jan8.2023 lists no such event that day; identical row at 2024-01-08 07:30
delete,cad_retail_sales,2023-01-19 13:30:00,,,,,,,,,"{""actual"": -0.2, ""forecast"": 0.0, ""previous"": 0.5, ""forecast_origin"": ""unknown"", ""jb_status"": ""Bad Data""}","wrong-year copy of the 2024 print (identical actual/forecast/previous, 365 days apart)",https://www.forexfactory.com/calendar?day=jan19.2023 lists no such event that day; identical row at 2024-01-19 13:30
delete,eur_gdp,2023-01-30 10:00:00,,,,,,,,,"{""actual"": null, ""forecast"": -0.1, ""previous"": -0.1, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","pre-print copy / re-listing with no actual, next to the real print of the same release",real print 2023-01-31 10:00:00 actual=0.1 forecast=-0.1 previous=0.3 in the parquet
delete,jpy_au_jibun_bank_manufacturing_pmi,2024-01-02 00:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": null}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-04 00:30:00 actual=47.9 forecast=47.7 previous=47.7 in the parquet
delete,chf_procurech_manufacturing_pmi,2024-01-02 08:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": null}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-03 08:30:00 actual=43.0 forecast=43.0 previous=42.1 in the parquet
delete,usd_initial_jobless_claims,2024-01-02 13:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-04 13:30:00 actual=202.0 forecast=217.0 previous=220.0 in the parquet
delete,chf_cpi,2024-01-06 07:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Bad Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-08 07:30:00 actual=0.0 forecast=-0.1 previous=-0.2 in the parquet
delete,eur_sp_global_services_pmi,2024-01-06 09:00:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": null}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-04 09:00:00 actual=48.8 forecast=48.1 previous=48.1 in the parquet
delete,gbp_s_p_global_cips_services_pmi,2024-01-06 09:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-04 09:30:00 actual=53.4 forecast=52.7 previous=52.7 in the parquet
delete,aud_cpi,2024-01-07 00:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Bad Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-10 00:30:00 actual=4.3 forecast=4.4 previous=4.9 in the parquet
delete,chf_unemployment_rate,2024-01-07 06:45:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-09 06:45:00 actual=2.2 forecast=2.2 previous=2.1 in the parquet
delete,usd_jolts_job_openings,2024-01-07 15:00:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-03 15:00:00 actual=8.79 forecast=8.84 previous=8.85 in the parquet
delete,usd_adp_nonfarm_employment_change,2024-01-08 13:15:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-04 13:15:00 actual=164.0 forecast=120.0 previous=101.0 in the parquet
delete,jpy_labor_cash_earnings,2024-01-08 23:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Bad Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-09 23:30:00 actual=0.2 forecast=1.5 previous=1.5 in the parquet
delete,usd_initial_jobless_claims,2024-01-09 13:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-11 13:30:00 actual=202.0 forecast=209.0 previous=203.0 in the parquet
delete,usd_average_hourly_earnings,2024-01-10 13:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Bad Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-05 13:30:00 actual=0.4 forecast=0.3 previous=0.4 in the parquet
delete,usd_nonfarm_payrolls,2024-01-10 13:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Good Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-05 13:30:00 actual=216.0 forecast=168.0 previous=173.0 in the parquet
delete,chf_ppi,2024-01-14 07:30:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Bad Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-19 07:30:00 actual=-0.6 forecast=-0.6 previous=-0.9 in the parquet
delete,gbp_cpi,2024-01-15 07:00:00,,,,,,,,,"{""actual"": 0.0, ""forecast"": 0.0, ""previous"": 0.0, ""forecast_origin"": ""unknown"", ""jb_status"": ""Bad Data""}","JB placeholder 0/0/0 (actual, forecast and previous all 0.0) next to the real print of the same release",real print 2024-01-17 07:00:00 actual=4.0 forecast=3.8 previous=3.9 in the parquet
