currency,canonical_id,name_raw,datetime_2023,datetime_2024_match,actual,forecast
AUD,aud_cpi,CPI y/y,2023-01-10 00:30:00,2024-01-10 00:30:00,4.3,4.4
AUD,aud_cpi,CPI y/y,2023-01-31 00:30:00,2024-01-31 00:30:00,3.4,3.7
AUD,aud_employment_change,Employment Change,2023-01-18 00:30:00,2024-01-18 00:30:00,-65.1,15.4
AUD,aud_rba_trimmed_mean_cpi,Trimmed Mean CPI q/q,2023-01-31 00:30:00,2024-01-31 00:30:00,0.8,0.9
AUD,aud_retail_sales,Retail Sales m/m,2023-01-09 00:30:00,2024-01-09 00:30:00,2.0,1.2
AUD,aud_retail_sales,Retail Sales m/m,2023-01-30 00:30:00,2024-01-30 00:30:00,-2.7,-1.9
AUD,aud_unemployment_rate,Unemployment Rate,2023-01-18 00:30:00,2024-01-18 00:30:00,3.9,3.9
CAD,cad_boc_interest_rate_decision,Overnight Rate,2023-01-24 14:45:00,2024-01-24 14:45:00,5.0,5.0
CAD,cad_common_cpi,Common CPI y/y,2023-01-16 13:30:00,2024-01-16 13:30:00,3.9,3.8
CAD,cad_core_cpi,Core CPI m/m,2023-01-16 13:30:00,2024-01-16 13:30:00,-0.5,0.0
CAD,cad_cpi,CPI m/m,2023-01-16 13:30:00,2024-01-16 13:30:00,-0.3,-0.3
CAD,cad_employment_change,Employment Change,2023-01-05 13:30:00,2024-01-05 13:30:00,0.1,12.2
CAD,cad_gdp,GDP m/m,2023-01-31 13:30:00,2024-01-31 13:30:00,0.2,0.1
CAD,cad_ippi,IPPI m/m,2023-01-17 13:30:00,2024-01-17 13:30:00,-1.5,-0.7
CAD,cad_median_cpi,Median CPI y/y,2023-01-16 13:30:00,2024-01-16 13:30:00,3.6,3.3
CAD,cad_retail_sales,Retail Sales m/m,2023-01-19 13:30:00,2024-01-19 13:30:00,-0.2,0.0
CAD,cad_s_p_global_manufacturing_pmi,Manufacturing PMI,2023-01-03 08:30:00,2024-01-03 08:30:00,43.0,43.0
CAD,cad_trimmed_cpi,Trimmed CPI y/y,2023-01-16 13:30:00,2024-01-16 13:30:00,3.7,3.4
CAD,cad_unemployment_rate,Unemployment Rate,2023-01-05 13:30:00,2024-01-05 13:30:00,5.8,5.9
CHF,chf_cpi,CPI m/m,2023-01-08 07:30:00,2024-01-08 07:30:00,0.0,-0.1
CHF,chf_ppi,PPI m/m,2023-01-19 07:30:00,2024-01-19 07:30:00,-0.6,-0.6
CHF,chf_retail_sales,Retail Sales y/y,2023-01-08 07:30:00,2024-01-08 07:30:00,0.7,0.0
CHF,chf_retail_sales,Retail Sales y/y,2023-01-31 07:30:00,2024-01-31 07:30:00,-0.8,0.9
CHF,chf_unemployment_rate,Unemployment Rate,2023-01-09 06:45:00,2024-01-09 06:45:00,2.2,2.2
EUR,eur_core_cpi,Core CPI Flash Estimate y/y,2023-01-05 10:00:00,2024-01-05 10:00:00,3.4,3.4
EUR,eur_cpi,CPI Flash Estimate y/y,2023-01-05 10:00:00,2024-01-05 10:00:00,2.9,3.0
EUR,eur_ecb_interest_rate_decision,Main Refinancing Rate,2023-01-25 13:15:00,2024-01-25 13:15:00,4.5,4.5
