currency,category,indicator,mt5_actual,mt5_cons,mt5_score,ff_actual,ff_cons,ff_score
USD,growth,gdp_qoq,2.1,1.6,2,2.0,2.2,0.0
USD,growth,manufacturing_pmi,52.7,49.8,2,53.3,53.8,0.0
USD,growth,retail_sales,0.9,-0.1,2,0.9,0.5,2.0
USD,growth,services_pmi,53.6,54.6,-1,54.5,53.7,1.0
USD,inflation,core_cpi,2.9,2.9,0,0.2,0.3,-2.0
USD,inflation,core_pce,3.4,3.4,0,0.3,0.3,0.0
USD,inflation,cpi_yoy,4.2,4.0,1,4.2,4.2,0.0
USD,inflation,ppi_yoy,6.5,4.5,2,1.1,0.7,1.0
EUR,growth,gdp_qoq,0.1,0.1,0,0.1,0.2,-1.0
EUR,growth,manufacturing_pmi,51.4,51.3,1,51.3,51.6,0.0
EUR,growth,retail_sales,-0.4,-0.3,0,-0.4,-0.3,-1.0
EUR,growth,services_pmi,48.9,47.7,2,48.9,48.6,0.0
EUR,inflation,core_cpi,2.4,2.4,0,2.4,2.5,0.0
EUR,inflation,cpi_yoy,3.0,2.1,2,2.8,3.0,0.0
EUR,inflation,ppi_yoy,4.9,1.4,2,0.6,0.6,0.0
EUR,labour,employment_change,0.1,0.2,-1,0.1,0.0,1.0
EUR,labour,unemployment_rate,6.3,6.1,-2,6.2,6.3,2.0
EUR,labour,wage_growth,3.4,3.2,0,,,
GBP,growth,gdp_qoq,-0.1,-0.1,0,-0.1,-0.1,0.0
GBP,growth,manufacturing_pmi,52.5,53.1,-1,52.5,53.1,0.0
GBP,growth,retail_sales,-1.3,,0,1.2,0.5,1.0
GBP,growth,services_pmi,48.7,51.2,-2,48.8,48.8,0.0
GBP,inflation,core_cpi,2.5,3.4,-2,2.6,2.7,-1.0
GBP,inflation,cpi_yoy,2.8,3.8,-2,2.8,3.0,-2.0
GBP,inflation,ppi_yoy,4.0,3.8,1,0.5,0.5,0.0
JPY,inflation,core_cpi,1.4,1.2,1,1.4,1.5,-1.0
JPY,inflation,cpi_yoy,1.5,1.3,2,1.4,1.4,0.0
NZD,inflation,cpi_yoy,3.1,3.2,0,0.9,0.8,1.0
NZD,inflation,ppi_yoy,0.8,1.1,0,0.8,0.5,1.0
CAD,growth,gdp_qoq,0.0,0.0,0,0.5,0.4,2.0
CAD,growth,manufacturing_pmi,52.9,54.2,-1,53.0,0.0,2.0
CAD,growth,retail_sales,0.5,-0.2,1,0.5,0.6,-1.0
CAD,labour,employment_change,87.8,-114.1,2,87.8,10.6,2.0
CAD,labour,unemployment_rate,6.6,6.9,2,6.6,6.9,0.0
CHF,labour,unemployment_rate,3.0,3.0,0,3.1,3.0,-2.0
