currency,category,score_mt5,score_ff,delta,cov_mt5,cov_ff
USD,growth,2.0,0.75,-1.25,2,4
USD,inflation,0.75,-0.25,-1.0,4,4
USD,labour,0.4,0.0,-0.4,5,6
USD,monetary,1.0,1.0,0.0,1,1
EUR,growth,0.75,-0.5,-1.25,4,4
EUR,inflation,1.333,0.0,-1.333,3,3
EUR,labour,-1.0,1.5,2.5,3,2
EUR,monetary,0.0,0.0,0.0,1,1
GBP,growth,-0.75,0.25,1.0,4,4
GBP,inflation,0.0,-1.0,-1.0,0,3
GBP,labour,1.333,1.333,0.0,3,3
GBP,monetary,0.0,0.0,0.0,1,1
JPY,growth,2.0,1.333,-0.667,3,3
JPY,inflation,1.5,-0.5,-2.0,2,2
JPY,labour,1.0,0.5,-0.5,1,2
JPY,monetary,1.0,1.0,0.0,0,0
AUD,growth,0.0,0.667,0.667,3,3
AUD,inflation,-1.333,-1.0,0.333,3,2
AUD,labour,-0.333,0.333,0.667,3,3
AUD,monetary,-2.0,-2.0,0.0,0,0
NZD,growth,0.5,1.25,0.75,4,4
NZD,inflation,0.0,1.0,1.0,2,2
NZD,labour,0.333,0.667,0.333,3,3
CAD,growth,0.0,1.0,1.0,3,3
CAD,inflation,1.333,1.333,0.0,3,3
CAD,labour,2.0,1.0,-1.0,2,2
CAD,monetary,0.0,0.0,0.0,1,1
CHF,growth,-0.5,0.333,0.833,2,3
CHF,inflation,-1.0,-1.5,-0.5,2,2
CHF,labour,0.0,-2.0,-2.0,0,1
