currency,canonical,flash_dt,flash_actual,final_name,final_dt,final_actual,revision
EUR,S&P Global Services PMI,2026-06-23 08:00:00,48.9,Final Services PMI,2026-07-03 08:00:00,49.4,0.5
EUR,S&P Global Manufacturing PMI,2026-06-23 08:00:00,51.3,Final Manufacturing PMI,2026-07-01 08:00:00,51.4,0.1
JPY,au Jibun Bank Manufacturing PMI,2026-06-23 00:30:00,54.9,Final Manufacturing PMI,2026-07-01 00:30:00,54.8,-0.1
USD,GDP q/q,2026-04-30 12:30:00,2.0,Final GDP q/q,2026-06-25 12:30:00,2.1,0.1
GBP,S&P Global/CIPS Manufacturing PMI,2026-06-01 08:30:00,53.9,Flash Manufacturing PMI,2026-06-23 08:30:00,53.1,-0.8
GBP,S&P Global/CIPS Services PMI,2026-06-03 08:30:00,49.3,Flash Services PMI,2026-06-23 08:30:00,48.7,-0.6
EUR,Core CPI y/y,2026-06-02 09:00:00,2.5,Final Core CPI y/y,2026-06-17 09:00:00,2.6,0.1
EUR,CPI y/y,2026-06-02 09:00:00,3.2,Final CPI y/y,2026-06-17 09:00:00,3.2,0.0
JPY,GDP q/q,2026-05-18 23:50:00,0.5,Final GDP q/q,2026-06-08 00:03:00,0.5,0.0
EUR,Employment Change q/q,2026-05-13 09:00:00,0.1,Final Employment Change q/q,2026-06-05 09:00:00,0.1,0.0
EUR,GDP q/q,2026-04-30 09:00:00,0.1,Revised GDP q/q,2026-06-05 09:00:00,-0.2,-0.3
EUR,S&P Global Services PMI,2026-05-21 08:00:00,46.4,Final Services PMI,2026-06-03 08:00:00,47.7,1.3
EUR,S&P Global Manufacturing PMI,2026-05-21 08:00:00,51.4,Final Manufacturing PMI,2026-06-01 08:00:00,51.6,0.2
JPY,au Jibun Bank Manufacturing PMI,2026-05-21 00:30:00,54.5,Final Manufacturing PMI,2026-06-01 00:30:00,54.5,0.0
USD,GDP q/q,2026-04-30 12:30:00,2.0,Prelim GDP q/q,2026-05-28 12:30:00,1.6,-0.4
GBP,S&P Global/CIPS Manufacturing PMI,2026-05-01 08:30:00,53.7,Flash Manufacturing PMI,2026-05-21 08:30:00,53.7,0.0
GBP,S&P Global/CIPS Services PMI,2026-05-06 08:30:00,52.7,Flash Services PMI,2026-05-21 08:30:00,47.9,-4.8
EUR,Core CPI y/y,2026-04-30 09:00:00,2.2,Final Core CPI y/y,2026-05-20 09:00:00,2.2,0.0
EUR,CPI y/y,2026-04-30 09:00:00,3.0,Final CPI y/y,2026-05-20 09:00:00,3.0,0.0
EUR,GDP q/q,2026-04-30 09:00:00,0.1,Flash GDP q/q,2026-05-13 09:00:00,0.1,0.0
EUR,S&P Global Services PMI,2026-04-23 08:00:00,47.4,Final Services PMI,2026-05-06 08:00:00,47.6,0.2
EUR,S&P Global Manufacturing PMI,2026-04-23 08:00:00,52.2,Final Manufacturing PMI,2026-05-04 08:00:00,52.2,0.0
JPY,au Jibun Bank Manufacturing PMI,2026-04-23 00:30:00,54.9,Final Manufacturing PMI,2026-05-01 00:30:00,55.1,0.2
GBP,S&P Global/CIPS Manufacturing PMI,2026-04-01 08:30:00,51.0,Flash Manufacturing PMI,2026-04-23 08:30:00,53.6,2.6
GBP,S&P Global/CIPS Services PMI,2026-04-07 08:30:00,50.5,Flash Services PMI,2026-04-23 08:30:00,52.0,1.5
EUR,Core CPI y/y,2026-03-31 09:00:00,2.3,Final Core CPI y/y,2026-04-16 09:00:00,2.3,0.0
EUR,CPI y/y,2026-03-31 09:00:00,2.5,Final CPI y/y,2026-04-16 09:00:00,2.6,0.1
USD,GDP q/q,2026-02-20 12:30:00,0.0,Final GDP q/q,2026-04-09 12:30:00,0.5,0.5
EUR,S&P Global Services PMI,2026-03-24 09:00:00,50.1,Final Services PMI,2026-04-07 08:00:00,50.2,0.1
EUR,S&P Global Manufacturing PMI,2026-03-24 09:00:00,51.4,Final Manufacturing PMI,2026-04-01 08:00:00,51.6,0.2
JPY,au Jibun Bank Manufacturing PMI,2026-03-24 00:30:00,51.4,Final Manufacturing PMI,2026-04-01 00:30:00,51.6,0.2
GBP,S&P Global/CIPS Manufacturing PMI,2026-03-02 09:30:00,51.7,Flash Manufacturing PMI,2026-03-24 09:30:00,51.4,-0.3
GBP,S&P Global/CIPS Services PMI,2026-03-04 09:30:00,53.9,Flash Services PMI,2026-03-24 09:30:00,51.2,-2.7
EUR,Core CPI y/y,2026-03-03 10:00:00,2.4,Final Core CPI y/y,2026-03-18 10:00:00,2.4,0.0
EUR,CPI y/y,2026-03-03 10:00:00,1.9,Final CPI y/y,2026-03-18 10:00:00,1.9,0.0
USD,GDP q/q,2026-02-20 12:30:00,0.0,Prelim GDP q/q,2026-03-13 12:30:00,0.7,0.7
JPY,GDP q/q,2026-02-15 23:50:00,0.1,Final GDP q/q,2026-03-09 23:50:00,0.3,0.2
EUR,Employment Change q/q,2026-02-13 10:00:00,0.2,Final Employment Change q/q,2026-03-06 10:00:00,0.2,0.0
EUR,GDP q/q,2026-01-30 10:00:00,0.3,Revised GDP q/q,2026-03-06 10:00:00,0.2,-0.1
EUR,S&P Global Services PMI,2026-02-20 09:00:00,51.8,Final Services PMI,2026-03-04 09:00:00,51.9,0.1
EUR,S&P Global Manufacturing PMI,2026-02-20 09:00:00,50.8,Final Manufacturing PMI,2026-03-02 09:00:00,50.8,0.0
JPY,au Jibun Bank Manufacturing PMI,2026-02-20 00:30:00,52.8,Final Manufacturing PMI,2026-03-02 00:30:00,53.0,0.2
EUR,CPI y/y,2026-02-04 10:00:00,1.7,Final CPI y/y,2026-02-25 10:00:00,1.7,0.0
GBP,S&P Global/CIPS Manufacturing PMI,2026-02-02 09:30:00,51.8,Flash Manufacturing PMI,2026-02-20 09:30:00,53.9,2.1
GBP,S&P Global/CIPS Manufacturing PMI,2026-02-02 09:30:00,51.8,Flash Manufacturing PMI,2026-02-20 08:30:00,0.0,-51.8
GBP,S&P Global/CIPS Services PMI,2026-02-04 09:30:00,54.0,Flash Services PMI,2026-02-20 08:30:00,0.0,-54.0
EUR,GDP q/q,2026-01-30 10:00:00,0.3,Flash GDP q/q,2026-02-13 10:00:00,0.3,0.0
EUR,S&P Global Services PMI,2026-01-23 09:00:00,51.9,Final Services PMI,2026-02-04 09:00:00,51.6,-0.3
EUR,S&P Global Manufacturing PMI,2026-01-23 09:00:00,49.4,Final Manufacturing PMI,2026-02-02 09:00:00,49.5,0.1
JPY,au Jibun Bank Manufacturing PMI,2026-01-23 00:30:00,51.5,Final Manufacturing PMI,2026-02-02 00:30:00,51.5,0.0
