currency,indicator_key,symbol,n_valid_surprises,n_overlap_naive,n_overlap_eet
USD,jobless_claims,NZDUSD,177,80,80
USD,jobless_claims,USDCAD,177,80,80
USD,jobless_claims,USDCHF,177,80,80
USD,jobless_claims,GBPUSD,177,80,80
USD,jobless_claims,AUDUSD,177,79,79
USD,jobless_claims,USDJPY,177,79,79
USD,jobless_claims,EURUSD,177,79,79
CHF,retail_sales,CADCHF,47,22,23
CHF,retail_sales,EURCHF,47,22,23
CHF,retail_sales,CHFJPY,47,22,23
CHF,retail_sales,AUDCHF,47,22,23
CHF,retail_sales,NZDCHF,47,22,23
CHF,retail_sales,USDCHF,47,22,23
CHF,retail_sales,GBPCHF,47,22,23
GBP,unemployment_rate,GBPCAD,43,21,21
GBP,unemployment_rate,GBPJPY,43,21,21
GBP,unemployment_rate,GBPCHF,43,21,21
GBP,unemployment_rate,GBPAUD,43,21,21
GBP,unemployment_rate,GBPNZD,43,21,21
GBP,unemployment_rate,EURGBP,43,21,21
GBP,unemployment_rate,GBPUSD,43,21,21
EUR,unemployment_rate,EURAUD,44,21,21
GBP,wage_growth,GBPCAD,43,21,21
GBP,wage_growth,GBPUSD,43,21,21
EUR,unemployment_rate,EURCAD,44,21,21
GBP,wage_growth,EURGBP,43,21,21
GBP,wage_growth,GBPJPY,43,21,21
GBP,wage_growth,GBPCHF,43,21,21
GBP,wage_growth,GBPAUD,43,21,21
GBP,wage_growth,GBPNZD,43,21,21
GBP,employment_change,GBPCHF,44,21,21
EUR,unemployment_rate,EURCHF,44,21,21
EUR,unemployment_rate,EURJPY,44,21,21
EUR,unemployment_rate,EURNZD,44,21,21
GBP,retail_sales,EURGBP,44,21,21
GBP,retail_sales,GBPCAD,44,21,21
GBP,retail_sales,GBPNZD,44,21,21
GBP,employment_change,GBPNZD,44,21,21
GBP,employment_change,GBPCAD,44,21,21
GBP,employment_change,GBPJPY,44,21,21
GBP,employment_change,EURGBP,44,21,21
GBP,employment_change,GBPUSD,44,21,21
CAD,core_cpi,CADCHF,43,21,21
CAD,core_cpi,NZDCAD,43,21,21
CAD,core_cpi,AUDCAD,43,21,21
CAD,core_cpi,CADJPY,43,21,21
CAD,core_cpi,GBPCAD,43,21,21
CAD,core_cpi,EURCAD,43,21,21
CAD,core_cpi,USDCAD,43,21,21
GBP,retail_sales,GBPUSD,44,21,21
EUR,unemployment_rate,EURUSD,44,21,21
GBP,retail_sales,GBPJPY,44,21,21
GBP,retail_sales,GBPCHF,44,21,21
GBP,retail_sales,GBPAUD,44,21,21
EUR,unemployment_rate,EURGBP,44,21,21
GBP,employment_change,GBPAUD,44,21,21
JPY,cpi_yoy,EURJPY,42,20,20
USD,retail_sales,AUDUSD,42,20,20
CAD,retail_sales,AUDCAD,42,20,20
CAD,retail_sales,NZDCAD,42,20,20
CAD,retail_sales,CADCHF,42,20,20
USD,durable_goods_orders_mm,EURUSD,40,20,20
GBP,cpi_yoy,EURGBP,42,20,20
USD,retail_sales,NZDUSD,42,20,20
USD,retail_sales,USDCAD,42,20,20
USD,durable_goods_orders_mm,USDCAD,40,20,20
USD,retail_sales,USDCHF,42,20,20
GBP,cpi_yoy,GBPUSD,42,20,20
GBP,core_cpi,GBPCAD,42,20,20
GBP,core_cpi,GBPNZD,42,20,20
JPY,cpi_yoy,USDJPY,42,20,20
USD,retail_sales,USDJPY,42,20,20
CAD,retail_sales,CADJPY,42,20,20
CAD,retail_sales,GBPCAD,42,20,20
CAD,retail_sales,EURCAD,42,20,20
CAD,retail_sales,USDCAD,42,20,20
GBP,cpi_yoy,GBPJPY,42,20,20
GBP,cpi_yoy,GBPCHF,42,20,20
GBP,cpi_yoy,GBPAUD,42,20,20
GBP,cpi_yoy,GBPNZD,42,20,20
GBP,cpi_yoy,GBPCAD,42,20,20
USD,durable_goods_orders_mm,AUDUSD,40,20,20
USD,durable_goods_orders_mm,NZDUSD,40,20,20
USD,employment_change,GBPUSD,44,20,20
USD,employment_change,USDJPY,44,20,20
USD,employment_change,USDCHF,44,20,20
USD,employment_change,USDCAD,44,20,20
USD,employment_change,AUDUSD,44,20,20
USD,employment_change,NZDUSD,44,20,20
USD,retail_sales,GBPUSD,42,20,20
GBP,core_cpi,GBPAUD,42,20,20
USD,durable_goods_orders_mm,USDCHF,40,20,20
AUD,employment_change,AUDJPY,43,20,20
JPY,cpi_yoy,GBPJPY,42,20,20
JPY,cpi_yoy,AUDJPY,42,20,20
JPY,cpi_yoy,NZDJPY,42,20,20
JPY,cpi_yoy,CADJPY,42,20,20
JPY,cpi_yoy,CHFJPY,42,20,20
USD,durable_goods_orders_mm,USDJPY,40,20,20
USD,retail_sales,EURUSD,42,20,20
AUD,employment_change,AUDCHF,43,20,20
AUD,employment_change,AUDCAD,43,20,20
AUD,employment_change,AUDNZD,43,20,20
USD,employment_change,EURUSD,44,20,20
AUD,employment_change,GBPAUD,43,20,20
AUD,employment_change,EURAUD,43,20,20
GBP,core_cpi,GBPUSD,42,20,20
USD,durable_goods_orders_mm,GBPUSD,40,20,20
GBP,core_cpi,GBPCHF,42,20,20
GBP,core_cpi,GBPJPY,42,20,20
GBP,core_cpi,EURGBP,42,20,20
CHF,unemployment_rate,GBPCHF,41,19,19
CHF,unemployment_rate,AUDCHF,41,19,19
EUR,services_pmi,EURCHF,41,19,19
EUR,services_pmi,EURAUD,41,19,19
EUR,services_pmi,EURNZD,41,19,19
EUR,services_pmi,EURCAD,41,19,19
EUR,retail_sales,EURUSD,42,19,19
CHF,unemployment_rate,CADCHF,41,19,19
CHF,unemployment_rate,NZDCHF,41,19,19
EUR,services_pmi,EURJPY,41,19,19
CHF,unemployment_rate,EURCHF,41,19,19
EUR,services_pmi,EURGBP,41,19,19
EUR,services_pmi,EURUSD,41,19,19
EUR,retail_sales,EURCAD,42,19,19
EUR,retail_sales,EURNZD,42,19,19
