instrument,score_v1,regime,momentum,score_v2,delta,slope_atr,adx
AUDCAD,-1,1,1,2,3,0.0388,14.6
AUDCHF,-3,1,0,1,4,0.0233,22.9
AUDJPY,-3,1,0,1,4,0.0042,23.9
AUDNZD,0,1,0,1,1,0.019,13.6
AUDUSD,-3,1,0,1,4,-0.0297,39.1
CADCHF,-1,-2,0,-2,-1,-0.0192,19.8
CADJPY,-3,1,-1,0,3,-0.0426,25.0
CHFJPY,-2,1,0,1,3,-0.0199,20.6
DAX,1,2,1,3,2,0.0651,12.6
DJIA,3,2,1,3,0,0.119,26.1
EURAUD,3,-1,-1,-2,-5,-0.0251,33.8
EURCAD,2,1,0,1,-1,0.023,21.4
EURCHF,0,-1,0,-1,-1,0.0041,14.6
EURGBP,-2,-2,-1,-3,-1,-0.056,15.0
EURJPY,-1,1,0,1,2,-0.0202,14.8
EURNZD,3,1,0,1,-2,-0.0084,24.9
EURUSD,-3,-2,-1,-3,0,-0.0623,34.6
FTSE100,-1,2,1,3,4,0.3802,16.9
GBPAUD,3,-1,0,-1,-4,0.0091,28.7
GBPCAD,3,2,1,3,0,0.061,27.7
GBPCHF,3,2,1,3,0,0.0467,25.1
GBPJPY,0,2,0,2,2,0.0145,12.8
GBPNZD,2,1,0,1,-1,0.0239,21.9
GBPUSD,-3,-1,0,-1,2,-0.0279,23.7
GOLD,-3,-2,-1,-3,0,-0.0968,39.4
NASDAQ,-1,2,1,3,4,0.1214,16.7
NIKKEI,2,2,1,3,1,0.1074,21.7
NZDCAD,-1,2,0,2,3,0.0234,12.9
NZDCHF,-3,-1,0,-1,2,0.0094,24.5
NZDJPY,-3,1,0,1,4,-0.0069,25.5
NZDUSD,-3,-1,-1,-2,1,-0.0353,33.5
SILVER,-3,-1,-1,-2,1,-0.0677,38.7
SP500,-1,2,1,3,4,0.119,19.0
USDCAD,3,2,1,3,0,0.1079,55.5
USDCHF,3,2,1,3,0,0.0553,33.8
USDJPY,3,2,1,3,0,0.0538,26.2
