currency,category,before,after
USD,growth,1,0
USD,inflation,0,0
USD,labour,0,0
USD,monetary,1,1
EUR,growth,0,0
EUR,inflation,0,0
EUR,labour,2,1
EUR,monetary,-1,-1
GBP,growth,0,0
GBP,inflation,-1,0
GBP,labour,1,1
GBP,monetary,-1,-1
JPY,growth,1,1
JPY,inflation,0,0
JPY,labour,0,0
JPY,monetary,0,0
AUD,growth,1,1
AUD,inflation,-1,-1
AUD,labour,0,0
AUD,monetary,-2,-2
NZD,growth,1,1
NZD,inflation,1,0
NZD,labour,1,1
CAD,growth,1,1
CAD,inflation,1,1
CAD,labour,1,0
CAD,monetary,0,0
CHF,growth,0,0
CHF,inflation,-2,-1
CHF,labour,-2,-2
